City_ID,City,,,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
401,snezhnogorsk,,,1528903800,70,69.19,33.23,42.8,2.24
402,sola,,,1528903200,76,62.78,29.36,50,10.29
403,sioux lookout,,,1528902000,59,50.1,-91.92,66.2,4.7
404,sur,,,1528905530,82,22.57,59.53,89.32,4.85
405,utete,,,1528905531,51,-7.99,38.76,81.76,6.08
406,saint-joseph,,,1528903800,60,43.56,6.97,71.6,4.7
407,sadao,,,1528902000,83,6.63,100.42,82.4,2.24
408,petropavlovsk-kamchatskiy,,,1528902000,86,53.05,158.65,41,2.24
409,vestmanna,,,1528903200,93,62.16,-7.17,48.2,19.46
410,chifeng,,,1528905536,90,42.27,118.96,52.42,0.72
411,grants pass,,,1528901760,50,42.44,-123.33,59,2.62
412,lampazos de naranjo,,,1528905536,57,27.02,-100.51,82.93,6.76
413,salym,,,1528905536,51,60.06,71.48,60.61,5.08
414,verkh-chebula,,,1528905536,75,56.03,87.61,67.36,2.73
415,tsiroanomandidy,,,1528905537,36,-18.77,46.05,71.86,4.97
416,lagoa,,,1528903800,56,37.14,-8.45,71.6,10.29
417,les cayes,,,1528905538,92,18.19,-73.75,82.93,22.41
418,mackay,,,1528902000,81,53.65,-115.58,50,3.36
419,treuchtlingen,,,1528903200,67,48.96,10.91,60.8,8.05
420,witney,,,1528903200,56,51.78,-1.49,69.8,16.11
